sample,ser,his,val,thr,pro,arg,glu,sample_name,description
AF 1,0.004526849999999971,0.008239557000000008,0.008097972999999925,0.02863367700000008,0.03755118800000001,0.092888093,0.06689983799999999,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 1"
AF 2,0.008998212999999922,0.005176494000000087,0.005225731999999983,0.04163645000000005,0.040415690000000004,0.09703717099999998,0.06831178199999999,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 2"
AF 3,0.003494717000000036,0.00771438999999996,0.005430115000000013,0.043761392000000066,0.043413774000000016,0.09419118599999998,0.067020635,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 3"
AF 4,0.00783519900000007,0.0,0.005119372999999983,0.04890265700000007,0.05669279500000002,0.10058202400000005,0.05910533699999998,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 4"
AF 5,0.02476674599999995,0.014273382999999917,0.012526407000000073,0.05080742700000007,0.031748852999999966,0.11088564900000009,0.051251712000000005,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 1
AF 6,0.02863816500000005,0.0077456129999999845,0.025383000000000044,0.09928848700000004,0.054250625,0.21017067099999998,0.070408378,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 2
AF 7,0.07260753400000008,0.0,0.020543240999999934,0.08133754999999998,0.05993503,0.21825300700000005,0.08034484500000005,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 3
AF 8,0.013665692000000007,0.0033463649999999623,0.008420369999999955,0.030056419999999973,0.024750380999999932,0.10766870599999989,0.04010399200000003,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 4
AF 9,0.019964842000000038,0.011318282999999929,0.01192053000000004,0.13911691000000004,0.09437903400000003,0.257183418,0.16707549300000002,CAfree_10pct_incubator,"Control 10% CO2 incubator, round bottom tube -  CAfree:pFE-sfGFP+pFA-HCAII biological replicate 1"
AF 10,0.027540772000000047,0.0,0.017211882999999983,0.1611837290000001,0.09840667999999997,0.25832820999999995,0.14929499000000002,CAfree_10pct_incubator,"Control 10% CO2 incubator, round bottom tube -  CAfree:pFE-sfGFP+pFA-HCAII biological replicate 2"
AF 11,0.05475972699999998,0.038192505999999904,0.029582650999999904,0.14161426300000002,0.07395828900000001,0.23954348999999997,0.080480157,CCMB1_lsPrk_10pct_incubator,"Rubisco control 10% CO2 incubator, roud bottom tube - CCMB1:p1A+pFA-sfGFP biological replicate 1"
AF 12,0.04923991700000008,0.055935140999999966,0.02951265999999997,0.13375929099999995,0.07786096900000006,0.24016833999999998,0.09662490299999993,CCMB1_lsPrk_10pct_incubator,"Rubisco control 10% CO2 incubator, roud bottom tube - CCMB1:p1A+pFA-sfGFP biological replicate 2"
AF 13,0.007131227000000018,0.011694354000000073,0.013863822999999997,0.03549144900000001,0.05642074099999994,0.11113702400000003,0.08716135400000002,CAfree_amb_incubator,"Control ambient CO2 incubator, round bottom tube -  CAfree:pFE-sfGFP+pFA-HCAII biological replicate 1"
AF 14,0.0048043979999999875,0.00667130199999999,0.004256040999999988,0.044954619000000084,0.04382845499999999,0.10311739099999995,0.08161921700000008,CAfree_amb_incubator,"Control ambient CO2 incubator, round bottom tube -  CAfree:pFE-sfGFP+pFA-HCAII biological replicate 2"
99% 13C std,0.007510942999999992,0.012156802000000022,0.0074276909999999585,0.02161653699999999,0.021040189000000042,0.03964841299999999,0.02200720200000006,99% 13C std,99% 13C std
75% 13C std,0.23264299900000007,0.411420471,0.21870209500000004,0.32652054799999997,0.27021420799999996,0.29917107900000006,0.322808925,75% 13C std,75% 13C std
50% 13C std,0.46627090299999996,0.566502197,0.48152546799999996,0.48527567299999996,0.552660729,0.527224927,0.537494331,50% 13C std,50% 13C std
25% 13C std,0.7334498700000001,0.852716034,0.7840914800000001,0.757852368,0.777870245,0.763085105,0.772812516,25% 13C std,25% 13C std
