,OD,sample,replicate,well
0,0.7959111111111103,Full CCM,rec.1,A1
1,0.7185022222222225,Full CCM,rec.2,B1
2,0.7176133333333335,Full CCM,rec.4,C1
3,0.7241977777777776,Full CCM,rec.4,D1
4,0.06603111111111118,Neg.,K194.3,E1
5,0.06391999999999999,Neg.,K194.4,F1
6,0.0539933333333334,Rub. alone,lsPrk.3,G1
7,0.06586000000000009,Rub. alone,lsPrk.4,H1
8,0.782531111111111,Full CCM,rec.1,A2
9,0.6674466666666663,Full CCM,rec.2,B2
10,0.6699933333333341,Full CCM,rec.4,C2
11,0.68318,Full CCM,rec.4,D2
12,0.05099777777777769,Neg.,K194.3,E2
13,0.07418222222222222,Neg.,K194.4,F2
14,0.06443333333333331,Rub. alone,lsPrk.3,G2
15,0.05715555555555562,Rub. alone,lsPrk.4,H2
16,0.7699799999999994,Full CCM,rec.1,A3
17,0.6159488888888885,Full CCM,rec.2,B3
18,0.656788888888889,Full CCM,rec.4,C3
19,0.6622866666666666,Full CCM,rec.4,D3
20,0.06106222222222235,Neg.,K194.3,E3
21,0.05655555555555564,Neg.,K194.4,F3
22,0.05167555555555554,Rub. alone,lsPrk.3,G3
23,0.0548666666666666,Rub. alone,lsPrk.4,H3
24,0.7723355555555558,Full CCM,rec.1,A4
25,0.64626,Full CCM,rec.2,B4
26,0.6600466666666668,Full CCM,rec.4,C4
27,0.6660955555555556,Full CCM,rec.4,D4
28,0.06195777777777775,Neg.,K194.3,E4
29,0.0552599999999999,Neg.,K194.4,F4
30,0.04988444444444454,Rub. alone,lsPrk.3,G4
31,0.058353333333333306,Rub. alone,lsPrk.4,H4
32,0.7660022222222233,Full CCM,rec.1,A5
33,0.6045266666666667,Full CCM,rec.2,B5
34,0.6538466666666664,Full CCM,rec.4,C5
35,0.6245866666666665,Full CCM,rec.4,D5
36,0.053213333333333473,Neg.,K194.3,E5
37,0.07023333333333327,Neg.,K194.4,F5
38,0.05527111111111105,Rub. alone,lsPrk.3,G5
39,0.05854222222222225,Rub. alone,lsPrk.4,H5
40,0.7631688888888896,Full CCM,rec.1,A6
41,0.6232377777777779,Full CCM,rec.2,B6
42,0.6546399999999998,Full CCM,rec.4,C6
43,0.640417777777778,Full CCM,rec.4,D6
44,0.06033999999999998,Neg.,K194.3,E6
45,0.05667111111111096,Neg.,K194.4,F6
46,0.05272888888888885,Rub. alone,lsPrk.3,G6
47,0.05519777777777777,Rub. alone,lsPrk.4,H6
48,0.7565200000000004,Full CCM,rec.1,A7
49,0.6096266666666664,Full CCM,rec.2,B7
50,0.6192844444444444,Full CCM,rec.4,C7
51,0.6250422222222219,Full CCM,rec.4,D7
52,0.06972222222222246,Neg.,K194.3,E7
53,0.05468222222222229,Neg.,K194.4,F7
54,0.05613777777777786,Rub. alone,lsPrk.3,G7
55,0.06688888888888883,Rub. alone,lsPrk.4,H7
56,0.6995933333333336,Full CCM,rec.1,A8
57,0.5050444444444443,Full CCM,rec.2,B8
58,0.6105377777777781,Full CCM,rec.4,C8
59,0.6288377777777779,Full CCM,rec.4,D8
60,0.06561555555555554,Neg.,K194.3,E8
61,0.07327777777777784,Neg.,K194.4,F8
62,0.0626,Rub. alone,lsPrk.3,G8
63,0.06041333333333338,Rub. alone,lsPrk.4,H8
64,0.7575288888888888,Full CCM,rec.1,A9
65,0.6071022222222221,Full CCM,rec.2,B9
66,0.5845666666666668,Full CCM,rec.4,C9
67,0.6156599999999997,Full CCM,rec.4,D9
68,0.0631511111111111,Neg.,K194.3,E9
69,0.06005777777777765,Neg.,K194.4,F9
70,0.06001333333333328,Rub. alone,lsPrk.3,G9
71,0.0637022222222221,Rub. alone,lsPrk.4,H9
72,0.7466044444444443,Full CCM,rec.1,A10
73,0.5645755555555554,Full CCM,rec.2,B10
74,0.6129355555555557,Full CCM,rec.4,C10
75,0.5570422222222223,Full CCM,rec.4,D10
76,0.0621266666666666,Neg.,K194.3,E10
77,0.06378,Neg.,K194.4,F10
78,0.0725533333333333,Rub. alone,lsPrk.3,G10
79,0.06744444444444463,Rub. alone,lsPrk.4,H10
80,0.7444888888888896,Full CCM,rec.1,A11
81,0.5217333333333333,Full CCM,rec.2,B11
82,0.5718844444444452,Full CCM,rec.4,C11
83,0.5945111111111112,Full CCM,rec.4,D11
84,0.06118888888888891,Neg.,K194.3,E11
85,0.06576888888888893,Neg.,K194.4,F11
86,0.06396444444444442,Rub. alone,lsPrk.3,G11
87,0.07294888888888905,Rub. alone,lsPrk.4,H11
88,0.8604111111111113,Full CCM,rec.1,A12
89,0.7224266666666667,Full CCM,rec.2,B12
90,0.6575311111111107,Full CCM,rec.4,C12
91,0.6653577777777775,Full CCM,rec.4,D12
92,0.07013555555555556,Neg.,K194.3,E12
93,0.0750333333333333,Neg.,K194.4,F12
94,0.07111111111111101,Rub. alone,lsPrk.3,G12
95,0.0680200000000001,Rub. alone,lsPrk.4,H12
